question_id,category_id,question,question_answer,option2,option3,option4
1,1,"Olimpiyatlar kaç yılda bir yapılıyor?","4","3","5","6"
2,2,"Yüksek ateş nedeniyle oluşan havaleyle ilgili yazılanlardan hangisi yanlıştır?", "Genellikle 6 yaşından büyük çocuklarda görülür","Herhangi bir ateşli hastalık sonucu oluşabilir","Vücut sıcaklığının 38⁰C’nin üstüne çıkmasıyla oluşur.","İlk yardım yaparken hasta öncelikle ıslak havluyla sarılır."
3,2,"Bebeklerde nabız kontrolü nereden yapılır?","Kolun üst kısmından","Kasıktan","Şah damarından","Ayak topuğundan"
4,4,"Mozart, Beethoven gibi bestecilerin yorumlarıyla zirveye ulaşan; sonat biçimindeki orkestra eserlerine ne isim verilir?","Senfoni","Opera","Filarmoni","Oda"
5,3,"Hababam Sınıfı kimin eseridir?","Rıfat Ilgaz","Halit Ziya Uşaklıgil","Vedat Türkali","Ahmed Günbay Yıldız"
6,1,"İlk antik olimpiyat oyunları nerede gerçekleşti?","Yunanistan","Fransa","İtalya","İsveç"
7,4,"Sözlerinin çoğunluğu veya tamamının şarkıyla söylenen müzikli tiyatro gösterisine ne ad verilir?","Opera","Operet","Vodvil","Bale"
8,4,"Klasik Türk müzik eserlerinin sözlerine ne ad verilir?","Güfte","Beste","Şarkı","Nefes"
9,3,"İnce Memed adlı eseri kim yazmıştır?","Yaşar Kemal","Kemal Tahir","Sabahattin Ali","Ömer Seyfettin"
10,3,"Oscar ödülü alan ilk kadın yönetmen kimdir?","Kathryn Bigelow","Bilge Olgaç","Alice Guy-Blache","Sofia Coppola"
11,2,"Solunum yolu tam tıkanmalarında ne yapılır?","Heimlich manevrası yapılır.","Baş aşağı çevrilir.","Sırt üstü yatırılır.","Su içirilir."
12,1,"Futbol oyununda değişik davranışlardan dolayı verilen serbest vuruşun bir diğer adı nedir?","Frikik","Taç","Penaltı","Diskalifiye"
13,2,"Aşağıdakilerden hangisi bayılmanın nedeni değildir?","Tansiyon yükselmesi","Kan şekerinin düşmesi","Korku aşırı heyecan","Şiddetli enfeksiyonlar"
14,5,"Olimpiyatlar kaç yılda bir yapılıyor?","4","3","5","6"
15,5,"Yüksek ateş nedeniyle oluşan havaleyle ilgili yazılanlardan hangisi yanlıştır?", "Genellikle 6 yaşından büyük çocuklarda görülür","Herhangi bir ateşli hastalık sonucu oluşabilir","Vücut sıcaklığının 38⁰C’nin üstüne çıkmasıyla oluşur.","İlk yardım yaparken hasta öncelikle ıslak havluyla sarılır."
16,5,"Bebeklerde nabız kontrolü nereden yapılır?","Kolun üst kısmından","Kasıktan","Şah damarından","Ayak topuğundan"
17,5,"Mozart, Beethoven gibi bestecilerin yorumlarıyla zirveye ulaşan; sonat biçimindeki orkestra eserlerine ne isim verilir?","Senfoni","Opera","Filarmoni","Oda"
18,5,"Hababam Sınıfı kimin eseridir?","Rıfat Ilgaz","Halit Ziya Uşaklıgil","Vedat Türkali","Ahmed Günbay Yıldız"
19,5,"İlk antik olimpiyat oyunları nerede gerçekleşti?","Yunanistan","Fransa","İtalya","İsveç"
20,5,"Sözlerinin çoğunluğu veya tamamının şarkıyla söylenen müzikli tiyatro gösterisine ne ad verilir?","Opera","Operet","Vodvil","Bale"
21,5,"Klasik Türk müzik eserlerinin sözlerine ne ad verilir?","Güfte","Beste","Şarkı","Nefes"
22,5,"İnce Memed adlı eseri kim yazmıştır?","Yaşar Kemal","Kemal Tahir","Sabahattin Ali","Ömer Seyfettin"
23,5,"Oscar ödülü alan ilk kadın yönetmen kimdir?","Kathryn Bigelow","Bilge Olgaç","Alice Guy-Blache","Sofia Coppola"
24,5,"Solunum yolu tam tıkanmalarında ne yapılır?","Heimlich manevrası yapılır.","Baş aşağı çevrilir.","Sırt üstü yatırılır.","Su içirilir."
25,5,"Futbol oyununda değişik davranışlardan dolayı verilen serbest vuruşun bir diğer adı nedir?","Frikik","Taç","Penaltı","Diskalifiye"
26,5,"Aşağıdakilerden hangisi bayılmanın nedeni değildir?","Tansiyon yükselmesi","Kan şekerinin düşmesi","Korku aşırı heyecan","Şiddetli enfeksiyonlar"